"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65752277451423","5.80326727984876","5.40821268568738","5.9896701175647","6.06992747717165","5.90898113167837","5.91115801457884","5.92511439500902","5.80185375223004","6.31345663525453","6.3598728238239","6.27098425337699","6.07553235436947","6.06326573940287","5.71333425759159","5.89167008074868","6.01403640033509","5.86588226298921","5.73062852507169","5.7558901923726","5.98459697196561","5.94259456421002","5.55902129039591","5.54080975848282","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339085","8.94125843","9.80847359","9.94828892","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190777","7.89716864","8.80596447","9.52887821","10.10534763","11.81859016","12.62081718","14.20841885","14.83131981","15.53361416","21.50844383","23.0881691","14.9857626","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.43757730828204","3.43627952626786","3.09582574879305","4.43612199959233","4.26952591852614","4.12261312394254","4.03887465403474","3.81897623428846","3.63072424603041","3.73365983830459","3.49414443704409","3.4773380915026","3.45159999875065","3.5810361563881","3.59914408938253","3.81020499573204","3.8027557657234","3.73266812536803","3.28862221030402","3.25093608157437","3.7884435601391","4.13562161186507","4.17449597524121","4.14322505750462","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68525279","3.95882654","2.9398222","3.10680342","3.46084046","2.54726577","2.39833426","2.65790844","2.97807598","3.30655909","2.36373854","2.35561895","2.13677311","2.4297719","2.15680027","2.29966879","2.39068723","2.4379425","2.29887486","2.20394278","2.81688905","2.73987103","2.60041046","2.54692864","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.87429667","5.8561573","5.59802675","5.84188986","5.82433939","5.6621623","5.56553745","5.85639858","5.44421673","5.75751925","6.16333199","6.11026192","6.08504725","6.20897436","6.35884142","6.38810158","6.65018797","6.50111914","6.59002447","6.78144073","7.46513748","7.35750389","7.53646231","7.05240345","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.93342304","5.86402225","5.99621153","5.54293585","5.27989149","5.58296251","4.95078182","4.94078732","5.6787138","6.09363031","7.68835258","7.62052774","6.71966314","6.79758358","6.77313089","6.91368532","6.94162941","7.07158232","7.37781096","7.32238626","8.78462029","8.64671707","7.52135801","7.69928026","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94168514938784","4.22201944303598","4.20056673526866","3.99548098293047","3.73070175358394","3.44633700448439","3.42808734741081","3.53654766163203","3.36965100225892","4.29646946883261","3.89317106564042","3.80575094634382","3.90350309490454","4.16260617967046","4.50007298761825","5.00908575316047","5.28502773733537","5.15987282843783","4.86776695125365","4.94278733717573","5.71844456598162","5.25928586762619","4.66525326389618","5.15780327165915","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39504457","2.48436403","2.71770859","2.64634395","2.46225643","2.3202107","2.3254137","2.56602693","2.92857623","4.05000162","3.74433136","3.56666398","3.33596373","3.50222182","3.53405499","3.46609354","3.89580107","4.00854969","4.09854221","4.40291262","5.82477045","5.30494308","4.56536388","4.97095108","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.22001076","8.26966286","7.33203077","6.92670012","7.09477043","7.73392439","7.70940399","7.86196613","8.24087811","9.56852913","9.4852438","9.51042366","9.8851881","9.92091465","9.79773045","10.27364159","10.05355549","10.26057911","10.17289257","10.11911297","10.67246342","11.00910187","10.15950489","10.2695179","",
