DATAFLOW,LAST UPDATE,freq,unit,wstatus,med_spec,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2000,413.04,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2001,407.94,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2002,415.48,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2003,422.08,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2004,411.24,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2005,422.77,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2006,421.45,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2007,418.39,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2008,411.96,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2009,419.44,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2010,418.19,b,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2011,424.97,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2012,424.73,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2013,430.89,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2014,431.16,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2015,435.19,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2016,439.23,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2017,444.26,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2018,444.54,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2019,446.58,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2020,452.72,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2021,454.00,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2022,456.88,,
ESTAT:HLTH_RS_PRS2(1.0),28/10/25 23:00:00,Annual,Per hundred thousand inhabitants,Practising,Physicians,Bulgaria,2023,462.97,,
