"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","DE","Germany",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","EE","Estonia",-,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","EL","Greece",3.601108030,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","NL","Netherlands",0.102354140,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","NO","Norway",0.326797380,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2000","SE","Sweden",-,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","AT","Austria",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","BE","Belgium",1.801801800,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","BG","Bulgaria",6.666666660,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","CZ","Czechia",2.313624670,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","DE","Germany",0.715421300,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","EE","Estonia",5.882352940,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","EL","Greece",5.448154650,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","ES","Spain",0.618982110,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","FI","Finland",0.165700080,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","HR","Croatia",1.648351640,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","HU","Hungary",0.381679380,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","LU","Luxembourg",0.534759350,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","MT","Malta",0.000000000,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","NL","Netherlands",0.553250340,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","NO","Norway",0.311203310,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","PL","Poland",7.070707070,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","PT","Portugal",2.870813390,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","SE","Sweden",0.342596110,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","SI","Slovenia",0.251256280,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","SK","Slovakia",6.666666660,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2001","UK","United Kingdom",1.213171570,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2002","AT","Austria",1.257861630,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2002","BE","Belgium",2.794242160,""
"Antimicrobial resistance","Escherichia coli|Third-generation cephalosporins","R - resistant isolates, percentage  ","%","2002","BG","Bulgaria",13.333333330,""
