STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,quantile,Quantile,reason,Reason,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2008,,13.8,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2009,,9.4,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2010,,9.7,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2011,,9.0,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2012,,7.3,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2013,,8.1,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2014,,5.1,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2015,,4.2,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2016,,2.3,,,,,
dataflow,ESTAT:HLTH_SILC_08(1.0),"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile",A,Annual,PC,Percentage,TOTAL,Total,TOOEFW,Too expensive or too far to travel or waiting list,Y16-64,From 16 to 64 years,T,Total,BG,Bulgaria,2017,,1.7,,,,,
